Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,market_cap
890146,Hatsun Agro Products Ltd.,HATSUNPP,Hatsun Agro Products Ltd,Suspended,B ,1.0,IN9473B01017, ,Equity,-,-,-,-,
890147,Reliance Industries Ltd,RELIANCEPP,Reliance Industries Ltd,Suspended,A ,10.0,IN9002A01032, ,Equity,-,-,-,-,
890003,Agro Dutch Industries Ltd.,AGDUTCF,AGR DUTCH PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890004,Parasrampuria Synthetics Ltd.,PRSYNP1,Parasrampuria Synthetics Ltd,Delisted,P ,10.0,NA          , ,Equity,-,-,-,-,
890005,Windsor Capital Markets Ltd,WINCAPP,WIN CAP MKPP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890006,Rain Calcining Ltd.,RAICAPP,RAIN CACN PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890008,Hindustan Petroleum Corporation Ltd,HPETRPP,HIND PETR PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890009,Sintex Industries Ltd,SINTXPP,SINTEX INDPP,Delisted,B ,6.0,NA          , ,Equity,-,-,-,-,
890010,Clutch Auto Ltd.,CLUATPP,CLUT AUTO PP,Delisted,T ,6.25,NA          , ,Equity,-,-,-,-,
890011,KSL AND INDUSTRIES LTD,KRTXCPP,KRT TX CA PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890012,Zenith Computers Ltd.,ZENCMPP,ZENIT COMPP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890013,Eskay K'n'IT (India) Ltd,SHKPYPP,SH KR PY PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890015,Selan Exploration Technology Ltd.,SELEXPP,SALEN EXP PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890016,"Jaipur Polyspin Ltd.,",JAIPOPP,JAIPUR POLPP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890080,Elgi Equipments Ltd.,ELEPP,ELGI EQUI PP,Delisted,B ,1.0,IN9285A01033, ,Equity,-,-,-,-,
890081,IOL Netcom Ltd,IOLBRODPP,IOL BROADPP,Delisted,B ,10.0,IN9517C01027, ,Equity,-,-,-,-,
890082,Sakthi Sugars Ltd.,SATHIPP,SAKTHI SU PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890083,Gem Eyeadorns Ltd,GMEYEPP,GEM EYELT PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890084,Gujarat Credit Corporation Ltd.,GUJCCPP,Gujarat Credit Corporation Ltd,Delisted,P ,10.0,-, ,Equity,-,-,-,-,
890085,Koa Tools India Ltd,KOATLPP,KOA TOOLS PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890086,CESC Limited,CESCLPP,CESC LTD PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890087,Eupharma Laboratories Ltd.,EUPHAPP,EUPHA LAB PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890088,Arvind Ltd.,ARVMIPP,ARVIND MILLS,Delisted,B ,5.0,IN9034A01019, ,Equity,-,-,-,-,
890089,SQL Star International Ltd,SQLSTARPP,SQL STAR INT,Delisted,B ,10.0,IN9399A01040, ,Equity,-,-,-,-,
890090,Aban  Offshore Ltd.,ABANOFFSHPP,ABAN OFFSHO,Delisted,B ,2.0,IN9421A01026, ,Equity,-,-,-,-,
890091,Kopran Ltd.,KOPRANPP,KOPRAN LTD,Delisted,B ,10.0,IN9082A01018, ,Equity,-,-,-,-,
890031,ACCELYA SOLUTIONS INDIA LIMITED,KALPP,KALE CON. PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890032,"India Polyfibres Ltd.,",INPOFPP,IND POLYFBPP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890034,Marksans Pharma Ltd.,TASPHPP,TASC PHAR PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890035,Syndicate Bank,SYNPP,SYNDICATE PP,Delisted,B ,10.0,IN9667A01024, ,Equity,-,-,-,-,
890036,Software Technology Group Intl. Ltd.,STNPP,Software Technology Group Intl Ltd,Delisted,B ,10.0,IN9863A01045, ,Equity,-,-,-,-,
890037,Glenmark Pharmaceuticals ltd,GLNPP,GLENMARK PP,Delisted,B ,10.0,IN9935A01033, ,Equity,-,-,-,-,
890038,India Steel Works Ltd,ISIPP,ISIBARS LTPP,Delisted,B ,10.0,IN9072A01027, ,Equity,-,-,-,-,
890039,Shree Rama Multi-tech Ltd.,SHRPP,SHREE RAM PP,Delisted,B ,2.5,-, ,Equity,-,-,-,-,
890040,Clio Infotech Ltd.,CLINFPP,CLIO INFO PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890041,Infraquest International Limited,INFRAQUESTP,Infraquest International Ltd,Delisted,P ,10.0,NA          , ,Equity,-,-,-,-,
890042,Socrus Bio Sciences Limited,TANUHPP,TANU HEAL PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890043,Transcon Research And Infotech Ltd.,TRAREPP,TRACON RE PP,Delisted,T ,10.0,-, ,Equity,-,-,-,-,
890159,Patel Integrated Logistics Ltd,PATINTPP,Patel Integrated Logistics Ltd,Suspended,B ,10.0,IN9529D01012, ,Equity,-,-,-,-,
890160,VIKAS LIFECARE LIMITED,VLIFEPP,VIKAS LIFECARE Ltd,Suspended,B ,1.0,IN9161L01017, ,Equity,-,-,-,-,
890161,Natural Capsules Ltd.,NATCAPSPP,Natural Capsules Ltd,Delisted,X ,10.0,IN9936B01021, ,Equity,-,-,-,-,
890162,Vikas EcoTech Limited,VECOPP,Vikas EcoTech Ltd,Suspended,B ,1.0,IN9806A01010, ,Equity,-,-,-,-,
890163,Vidli Restaurants Limited,VIDLIPP,Vidli Restaurants Ltd,Delisted,M ,10.0,IN9564S01017, ,Equity,-,-,-,-,
890164,WARDWIZARD INNOVATIONS AND MOBILITY LIMITED,WARDWIZPP,WARDWIZARD INNOVATIONS AND MOBILITY Ltd,Suspended,B ,1.0,IN9945P01014, ,Equity,-,-,-,-,
890165,Tilak Ventures Limited,TILAKPP,Tilak Ventures Ltd,Delisted,X ,1.0,IN9026L01012, ,Equity,-,-,-,-,
890166,PRISMX GLOBAL VENTURES LIMITED,PRISMXPP,PRISMX GLOBAL VENTURES Ltd,Delisted,X ,1.0,IN9286N01018, ,Equity,-,-,-,-,
890167,ASM Technologies Ltd.,ASMTECPP,ASM Technologies Ltd,Delisted,X ,10.0,IN9867C01018, ,Equity,-,-,-,-,
890168, Aurum PropTech Limited,AURUMPP,Aurum PropTech Ltd,Active,B ,5.0,IN9898S01027, ,Equity,-,-,-,-,
890169,Dynemic Products Ltd.,DYNPROPP,Dynemic Products Ltd,Suspended,B ,10.0,IN9256H01013, ,Equity,-,-,-,-,
890192,INDIABULLS HOUSING FINANCE LIMITED,IBULPP,INDIABULLS HOUSING FINANCE Ltd,Active,A ,2.0,IN9148I01010, ,Equity,-,-,-,-,
890193,Skipper Limited,SKIPPERPP,Skipper Ltd,Active,B ,1.0,IN9439E01012, ,Equity,-,-,-,-,
890194,QUEST SOFTECH (INDIA) LIMITED,QUESTPP,QUEST SOFTECH (INDIA) Ltd,Active,X ,10.0,IN9989J01015, ,Equity,-,-,-,-,
890195,Shree Ajit Pulp And Paper Ltd,SAPPLPP,Shree Ajit Pulp And Paper Ltd,Active,X ,10.0,IN9185C01015, ,Equity,-,-,-,-,
890196,Adroit Infotech Limited,ADROITPP,Adroit Infotech Ltd,Suspended,B ,10.0,IN9737B01023, ,Equity,-,-,-,-,
890197,Yarn Syndicate Ltd.,YARNPP,Yarn Syndicate Ltd,Active,X ,10.0,IN9564C01011, ,Equity,-,-,-,-,
890198,Mitsu Chem Plast Limited,MITSUPP,Mitsu Chem Plast Ltd,Suspended,B ,10.0,IN9317V01014, ,Equity,-,-,-,-,
890199,Spectrum Foods Limited,SPECTPP,Spectrum Foods Ltd,Suspended,XT,10.0,IN9547C01016, ,Equity,-,-,-,-,
890200,Iykot Hitech Toolroom Ltd,IYKOTPP,Iykot Hitech Toolroom Ltd,Active,XT,5.0,IN9079L01011, ,Equity,-,-,-,-,
100087,Cipla Ltd.,CIPLA#,"Cipla Ltd.,",Active,A ,2.0,INE059A01026, ,Equity,-,-,-,-,
100112,State Bank Of India,SBIN#,"State Bank Of India,",Active,A ,1.0,INE062A01020,Public Sector Bank,Equity,-,Financial Services,-,-,
890148,Aditya Birla Fashion and Retail Limited,ABFRLPP,Aditya Birla Fashion and Retail Ltd,Suspended,A ,10.0,IN9647O01027, ,Equity,-,-,-,-,
890149,SATIN CREDITCARE NETWORK LIMITED,SATINPP,Satin Creditcare Network Ltd,Delisted,B ,10.0,IN9836B01023, ,Equity,-,-,-,-,
890150,Rushil Decor Limited,RUSHILPP,Rushil Decor Ltd,Suspended,B ,10.0,IN9573K01023, ,Equity,-,-,-,-,
890151,Mold-Tek Packaging Limited,MOLDTEKPP,Mold-Tek Packaging Ltd,Suspended,B ,5.0,IN9893J01019, ,Equity,-,-,-,-,
890152,Urja Global Limited,URJAPP,Urja Global Ltd,Suspended,B ,1.0,IN9550C01028, ,Equity,-,-,-,-,
890153,Arvind Fashions Limited,AFLPP,Arvind Fashions Ltd,Suspended,A ,4.0,IN9955V01011, ,Equity,-,-,-,-,
890154,Scanpoint Geomatics Limited,SCANPGEOMPP,Scanpoint Geomatics Ltd,Delisted,XT,2.0,IN9967B01018, ,Equity,-,-,-,-,
890155,Texel Industries Ltd.,TEXELINPP,Texel Industries Ltd,Delisted,X ,10.0,IN9594V01018, ,Equity,-,-,-,-,
890156,Kesoram Industries Ltd,KILPP,Kesoram Industries Ltd,Suspended,B ,10.0,IN9087A01017, ,Equity,-,-,-,-,
890157,Bharti Airtel  Ltd.,AIRTELPP,Bharti Airtel  Ltd,Active,A ,5.0,IN9397D01014, ,Equity,-,-,-,-,
890158,RPP INFRA PROJECTS LIMITED,RPPINFRPP,RPP INFRA PROJECTS Ltd,Suspended,B ,10.0,IN9324L01011, ,Equity,-,-,-,-,
890170,Saboo Sodium Chloro Ltd.,SABOOSODPP,Saboo Sodium Chloro Ltd.,Delisted,X ,10.0,IN9440C01014, ,Equity,-,-,-,-,
890171,Gennex Laboratories Ltd,GENNEXPP,Gennex Laboratories Ltd,Delisted,X ,1.0,IN9509C01016, ,Equity,-,-,-,-,
890172,Maharashtra Corporation Ltd.,MAHACORPPP,Maharashtra Corporation Ltd,Delisted,X ,1.0,IN9272E01025, ,Equity,-,-,-,-,
890173,KCL Infra Projects Limited,KCLINFPP,KCL Infra Projects Ltd,Delisted,X ,2.0,IN9469F01016, ,Equity,-,-,-,-,
890174,Coastal Corporation Limited,COASTPP,Coastal Corporation Ltd,Delisted,B ,10.0,IN9377E01022, ,Equity,-,-,-,-,
890175,Gautam Gems Limited,GGLPP,Gautam Gems Ltd,Delisted,B ,10.0,IN9063Z01023, ,Equity,-,-,-,-,
890176,SUZLON ENERGY LTD.,SUZLONPP,SUZLON ENERGY LTD,Delisted,A ,2.0,IN9040H01011, ,Equity,-,-,-,-,
890177,Transwarranty Finance Limited,TFLPP,Transwarranty Finance Ltd,Suspended,B ,10.0,IN9804H01010, ,Equity,-,-,-,-,
890178,Rungta Irrigation Ltd.,RUNGTAPP,Rungta Irrigation Ltd,Delisted,XT,10.0,IN9347C01029, ,Equity,-,-,-,-,
890179,Adcon Capital Services Limited,ADCONPP,Adcon Capital Services Ltd,Delisted,XT,1.0,IN9805Q01018, ,Equity,-,-,-,-,
890180,Aarti Surfactants Limited,AARTIPP,Aarti Surfactants Ltd,Delisted,B ,10.0,IN909EO01012, ,Equity,-,-,-,-,
100228,JSW Steel Limited,JSWSTEEL#,JSW SL,Active,A ,1.0,INE019A01038,Iron & Steel,Equity,-,Metals & Mining,-,-,
100251,Trent Ltd [Lakme Ltd],TRENT#,TRENT,Active,A ,1.0,INE849A01020, ,Equity,-,-,-,-,
100253,Lic Housing Finance Ltd.,LICHSGFIN#,Lic Housing Finance Ltd.,Active,A ,2.0,INE115A01026,Housing Finance Company,Equity,-,Financial Services,-,-,
100266,Maharashtra Scooters Ltd.,MAHSCOOTER#,"Maharashtra Scooters Ltd.,",Suspended,A ,10.0,INE288A01013,Investment Company,Equity,-,Financial Services,-,-,
100290,M.R.F. Ltd.,MRF#,M.R.F LTD,Active,A ,10.0,INE883A01011, ,Equity,-,-,-,-,
100295,Vedanta Limited,VEDL#,Vedanta Limited,Active,A ,1.0,INE205A01025,Diversified Metals,Equity,-,Metals & Mining,-,-,
100312,Oil And Natural Gas Corporation Ltd,ONGC#,Oil And Natural Gas Corporation Ltd,Active,A ,5.0,INE213A01029,Oil Exploration & Production,Equity,-,"Oil, Gas & Consumable Fuels",-,-,
100425,Ambuja Cements Ltd.,AMBUJACEM#,Ambuja Cements Ltd.,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity,-,Construction Materials,-,-,
100440,Hindalco Industries Ltd.,HINDALCO#,Hindalco Industries Ltd.,Active,A ,1.0,INE038A01020,Aluminium,Equity,-,Metals & Mining,-,-,
100477,Ashok Leyland Ltd.,ASHOKLEY#,ASHOK LEYLND,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity,-,Capital Goods,-,-,
100483,Tata Communications Limited,TATACOMM#,TATA COMM,Active,A ,10.0,INE151A01013,Telecom - Cellular & Fixed line services,Equity,-,Telecommunication,-,-,
890017,Ambuja Cement Eastern Ltd.,AMBCMPP,AMBUJ CEM PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890018,SREI Infrastructure Finance limited,SREINPP,SREI PP7.5PD,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890019,SREI Infrastructure Finance limited,SREENPP,SREI PP5PD,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890020,SREI Infrastructure Finance limited,SREINFRA1,SREI Infrastructure Finance Ltd,Delisted,P ,10.0,NA          , ,Equity,-,-,-,-,
890022,Jammu and Kashmir Bank Ltd.,J&KBN,J&K BANK,N,B ,10.0,-, ,Equity,-,-,-,-,
890024,Ugar Sugar Works Ltd.,UGSGWPP,UGAR SG WKPP,Delisted,B ,8.0,NA          , ,Equity,-,-,-,-,
890025,Genomics Biotech Ltd.,ABNERPP,ABNER PH PP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890026,SQL Star International Ltd,SQLPP,SQL STAR PP5,Delisted,B ,5.0,IN9399A01024, ,Equity,-,-,-,-,
890027,S.Kumars Nationwide Ltd.,SKSPP,SKUMAR SYNPP,N,B ,10.0,NA          , ,Equity,-,-,-,-,
890028,ICICI Ltd.,ICIPP,ICICI PP3 DM,Delisted,B ,10.0,IN9005A01027, ,Equity,-,-,-,-,
890029,Top Telemedia Ltd.,TOPCAPP,Top Telemedia Ltd,Delisted,P ,10.0,NA          , ,Equity,-,-,-,-,
890030,Saurashtra Cement Limited,SAUCMPP,SAURA CEMEPP,Delisted,B ,10.0,NA          , ,Equity,-,-,-,-,
890056,BRIGHTCOM GROUP LIMITED,LAGPP,LANCO GLO PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890057,Maximaa Systems ltd.,MAXISYS,MAXIMAA STSL,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890058,Virinchi Limited,VIRPP,Virinchi Technologies Ltd,Delisted,P ,10.0,-, ,Equity,-,-,-,-,
890059,Universal Arts Ltd,TABPP,TABASSUM PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890060,FIRST FINTEC LIMITED,IQMPP,IQMS SOFT PP,Delisted,B ,10.0,IN9683B01011, ,Equity,-,-,-,-,
890061,Garnet International Limited,ADELVPP,ADEL VISI PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890062,Vision Organics Ltd,VISPP,VISION ORGPP,Delisted,B ,10.0,IN9514B01018, ,Equity,-,-,-,-,
890063,Tyche Industries Ltd.,SIRPP,SIRIS SOFTPP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890064,DCW Ltd.,DCWPP,DCW LTD PP,Delisted,B ,10.0,IN9500A01019, ,Equity,-,-,-,-,
890065,Skol Breweries Ltd.,SKOLBPP,SKOL BREW PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890066,Nimbus Projects Limited,NCJINPP,Nimbus Projects Ltd,Delisted,P ,10.0,-, ,Equity,-,-,-,-,
890067,Tarai Foods Ltd.,TARAIPP,TARAI FOD PP,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
890092,Netlink Solutions (India) Ltd.,VGRCONSPP,VGR CONSTRPP,Delisted,B ,10.0,IN9040F01015, ,Equity,-,-,-,-,
890093,Recron Synthetics Ltd.,RECRONSYN,RECRON SYNTH,Delisted,B ,1.0,IN9616A01013, ,Equity,-,-,-,-,
890095,Aditya Birla Chemicals (India) Limited,BIHCCPPRI,BIHAR CAUSC C,Delisted,B ,10.0,IN9605B01014, ,Equity,-,-,-,-,
890096,ORCHASP LIMITED,CYBMIPPRI,CYBERMAT INF,Delisted,B ,10.0,IN9215B01012, ,Equity,-,-,-,-,
890097,B.A.G. Films & Media Ltd,BAGFILMSPP,BAG FILMS,Delisted,B ,2.0,IN9116D01018, ,Equity,-,-,-,-,
890098,B.S. Refrigerators Ltd.,BSREPP,B S REFRIGR,Delisted,Z ,10.0,-, ,Equity,-,-,-,-,
890099,Ramco Systems Ltd,RAMCOSYPP,RAMCO SYSTEM,Delisted,B ,10.0,IN9246B01017, ,Equity,-,-,-,-,
890100,Dhampur Sugar Mills Ltd.,DHAMSUP,DHAMPUR SUGA,Delisted,B ,5.0,IN9041A01022, ,Equity,-,-,-,-,
890101,Alembic  Ltd,ALEMBICPP,ALEMBICLTDPP,Delisted,B ,10.0,IN9426A01017, ,Equity,-,-,-,-,
890102,ICICI Bank Ltd.,ICICIBANKPP,ICICI BANK L,Delisted,B ,10.0,IN9090A01011, ,Equity,-,-,-,-,
890104,Navin Fluorine International Limited,NAVINPP,NAVIN FLUORI,Delisted,B ,10.0,IN9048G01016, ,Equity,-,-,-,-,
890106,Mawana Sugars Ltd.,MAWANPP,MAWANA,Delisted,B ,10.0,IN9255G01017, ,Equity,-,-,-,-,
100547,Bharat Petroleum Corpn. Ltd.,BPCL#,BHARAT PETRO,Active,A ,10.0,INE029A01011,Refineries & Marketing,Equity,-,"Oil, Gas & Consumable Fuels",-,-,
100790,Nestle India Ltd.,NESTLEIND#,NESTLE LTD,Active,A ,1.0,INE239A01024,Packaged Foods,Equity,-,Fast Moving Consumer Goods,-,-,
100850,Indian Hotels Co. Ltd,INDHOTEL#,Indian Hotels Co. Ltd,Active,A ,1.0,INE053A01029,Hotels & Resorts,Equity,-,Consumer Services,-,-,
117334,Samvardhana Motherson International Limited,MOTHERSON#,Samvardhana Motherson International Limited,Active,A ,1.0,INE775A01035,Auto Components & Equipments,Equity,-,Automobile and Auto Components,-,-,
119600,CCL Products (India) Ltd.,CCL#,CCL Products (India) Ltd.,Suspended,A ,2.0,INE421D01022,Tea & Coffee,Equity,-,Fast Moving Consumer Goods,-,-,
126371,NMDC Ltd,NMDC#,NMDC Ltd,Active,A ,1.0,INE584A01023,Industrial Minerals,Equity,-,Metals & Mining,-,-,
132134,Bank Of Baroda,BANKBARODA#,Bank Of Baroda,Active,A ,2.0,INE028A01039,Public Sector Bank,Equity,-,Financial Services,-,-,
132218,South Indian Bank Ltd.,SOUTHBANK#,South Indian Bank Ltd.,Suspended,A ,1.0,INE683A01023,Private Sector Bank,Equity,-,Financial Services,-,-,
132400,BIRLASOFT LIMITED,BSOFT#,BIRLASOFT LIMITED,Active,A ,2.0,INE836A01035,Computers - Software & Consulting,Equity,-,Information Technology,-,-,
132477,Union Bank of India,UNIONBANK#,UNION BANK,Active,A ,10.0,INE692A01016,Public Sector Bank,Equity,-,Financial Services,-,-,
132488,Divi's Laboratories Ltd.,DIVISLAB#,Divi's Laboratories Ltd.,Active,A ,2.0,INE361B01024,Pharmaceuticals,Equity,-,Healthcare,-,-,
890124,ICICI Bank Ltd.,ICICIBNKPP,ICICI BANKPP,Delisted,B ,10.0,IN9090A01045, ,Equity,-,-,-,-,
890125,Orient Paper & Industries Ltd.,ORIENTPAPP,ORIENTPAPP,Delisted,B ,10.0,IN9592A01016, ,Equity,-,-,-,-,
890126,Oudh Sugar Mills Ltd.,OUDHSUGARPP,OUDH SUGAR MILLS LTD.,Delisted,B ,10.0,IN9594A01012, ,Equity,-,-,-,-,
890127,Dish TV India Limited,DISHTVPP,DISHTVPP,Delisted,B ,1.0,IN9836F01024, ,Equity,-,-,-,-,
890128,Alok Industries Ltd.,ALOKINDPP,ALOKIND PP,Delisted,B ,10.0,IN9270A01019, ,Equity,-,-,-,-,
